time,spent,allocation
966,41748,10437
967,41748,10437
968,41748,10437
969,41748,10437
970,41748,10437
971,41748,10437
972,41748,10437
973,41748,10437
974,41748,10437
975,41748,10437
976,41748,10437
977,41748,10437
978,41748,10437
979,41748,10437
980,41748,10437
981,41748,10437
982,41748,10437
983,41748,10437
984,41748,10437
985,41748,10437
986,41748,10437
987,41748,10437
988,41748,10437
989,41748,10437
990,41748,10437
991,41748,10437
992,41748,10437
993,41748,10437
994,41748,10437
995,41748,10437
996,41748,10437
997,41748,10437
998,41748,10437
999,41748,10437
1000,41748,10437
1001,41748,10437
1002,41748,10437
1003,41748,10437
1004,41748,10437
1005,41748,10437
1006,41748,10437
1007,41748,10437
1008,41748,10437
1009,41748,10437
1010,41748,10437
1011,41748,10437
1012,41748,10437
1013,41748,10437
1014,41748,10437
1015,41748,10437
1016,41748,10437
1017,41748,10437
1018,41748,10437
1019,41748,10437
1020,41748,10437
1021,41748,10437
1022,41748,10437
1023,41748,10437
1024,41748,10437
1025,41748,10437
1026,41748,10437
1027,41748,10437
1028,41748,10437
1029,41748,10437
1030,41748,10437
1031,41748,10437
1032,41748,10437
1033,41748,10437
1034,41748,10437
1035,41748,10437
1036,41748,10437
1037,41748,10437
1038,41748,10437
1039,41748,10437
1040,41748,10437
1041,41748,10437
1042,41748,10437
1043,41748,10437
1044,41748,10437
1045,41748,10437
1046,41748,10437
1047,41748,10437
1048,41748,10437
1049,41748,10437
1050,41748,10437
1051,41748,10437
1052,41748,10437
1053,41748,10437
1054,41748,10437
1055,41748,10437
1056,41748,10437
1057,41748,10437
1058,41748,10437
1059,41748,10437
1060,41748,10437
1061,41748,10437
1062,41748,10437
1063,41748,10437
1064,41748,10437
1065,41748,10437
1066,41748,10437
1067,41748,10437
1068,41748,10437
1069,41748,10437
1070,41748,10437
1071,41748,10437
1072,41748,10437
1073,41748,10437
1074,41748,10437
1075,41748,10437
1076,41748,10437
1077,41748,10437
1078,41748,10437
1079,41748,10437
1080,41748,10437
1081,41748,10437
1082,41748,10437
1083,41748,10437
1084,41748,10437
1085,41748,10437
1086,41748,10437
1087,41748,10437
1088,41748,10437
1089,41748,10437
1090,41748,10437
1091,41748,10437
1092,41748,10437
1093,41748,10437
1094,41748,10437
1095,41748,10437
1096,41748,10437
1097,41748,10437
1098,41748,10437
1099,41748,10437
1100,41748,10437
1101,41748,10437
1102,41748,10437
1103,41748,10437
1104,41748,10437
1105,41748,10437
1106,41748,10437
1107,41748,10437
1108,41748,10437
1109,41748,10437
1110,41748,10437
1111,41748,10437
1112,41748,10437
1113,41748,10437
1114,41748,10437
1115,41748,10437
1116,41748,10437
1117,41748,10437
1118,41748,10437
1119,41748,10437
1120,41748,10437
1121,41748,10437
1122,41748,10437
1123,41748,10437
1124,41748,10437
1125,41748,10437
1126,41748,10437
1127,41748,10437
1128,41748,10437
1129,41748,10437
1130,41748,10437
1131,41748,10437
1132,41748,10437
1133,41748,10437
1134,41748,10437
1135,41748,10437
1136,41748,10437
1137,41748,10437
1138,41748,10437
1139,41748,10437
1140,41748,10437
1141,41748,10437
1142,41748,10437
1143,41748,10437
1144,41748,10437
1145,41748,10437
1146,41748,10437
1147,41748,10437
1148,41748,10437
1149,41748,10437
1150,41748,10437
1151,41748,10437
1152,41748,10437
1153,41748,10437
1154,41748,10437
1155,41748,10437
1156,41748,10437
1157,41748,10437
1158,41748,10437
1159,41748,10437
1160,41748,10437
1161,41748,10437
1162,41748,10437
1163,41748,10437
1164,41748,10437
1165,41748,10437
1166,41748,10437
1167,41748,10437
1168,41748,10437
1169,41748,10437
1170,41748,10437
1171,41748,10437
1172,41748,10437
1173,41748,10437
1174,41748,10437
1175,41748,10437
1176,41748,10437
1177,41748,10437
1178,41748,10437
1179,41748,10437
1180,41748,10437
1181,41748,10437
1182,41748,10437
1183,41748,10437
1184,41748,10437
1185,41748,10437
1186,41748,10437
1187,41748,10437
1188,41748,10437
1189,41748,10437
1190,41748,10437
1191,41748,10437
1192,41748,10437
1193,41748,10437
1194,41748,10437
1195,41748,10437
1196,41748,10437
1197,41748,10437
1198,41748,10437
1199,41748,10437
1200,41748,10437
1201,41748,10437
1202,41748,10437
1203,41748,10437
1204,41748,10437
1205,41748,10437
1206,41748,10437
1207,41748,10437
1208,41748,10437
1209,41748,10437
1210,41748,10437
1211,41748,10437
1212,41748,10437
1213,41748,10437
1214,41748,10437
1215,41748,10437
1216,41748,10437
1217,41748,10437
1218,41748,10437
1219,41748,10437
1220,41748,10437
1221,41748,10437
1222,41748,10437
1223,41748,10437
1224,41748,10437
1225,41748,10437
1226,41748,10437
1227,41748,10437
1228,41748,10437
1229,41748,10437
1230,41748,10437
1231,41748,10437
1232,41748,10437
1233,41748,10437
1234,41748,10437
1235,41748,10437
1236,41748,10437
1237,41748,10437
1238,41748,10437
1239,41748,10437
1240,41748,10437
1241,41748,10437
1242,41748,10437
1243,41748,10437
1244,41748,10437
1245,41748,10437
1246,41748,10437
1247,41748,10437
1248,41748,10437
1249,41748,10437
1250,41748,10437
1251,41748,10437
1252,41748,10437
1253,41748,10437
1254,41748,10437
1255,41748,10437
1256,41748,10437
1257,41748,10437
1258,41748,10437
1259,41748,10437
1260,41748,10437
1261,41748,10437
1262,41748,10437
1263,41748,10437
1264,41748,10437
1265,41748,10437
1266,41748,10437
1267,41748,10437
1268,41748,10437
1269,41748,10437
1270,41748,10437
1271,41748,10437
1272,41748,10437
1273,41748,10437
1274,41748,10437
1275,41748,10437
1276,41748,10437
1277,41748,10437
1278,41748,10437
1279,41748,10437
1280,41748,10437
1281,41748,10437
1282,41748,10437
1283,41748,10437
1284,41748,10437
1285,41748,10437
1286,41748,10437
1287,41748,10437
1288,41748,10437
1289,41748,10437
1290,41748,10437
1291,41748,10437
1292,41748,10437
1293,41748,10437
1294,41748,10437
1295,41748,10437
1296,41748,10437
1297,41748,10437
1298,41748,10437
1299,41748,10437
1300,41748,10437
1301,41748,10437
1302,41748,10437
1303,41748,10437
1304,41748,10437
1305,41748,10437
1306,41748,10437
1307,41748,10437
1308,41748,10437
1309,41748,10437
1310,41748,10437
1311,41748,10437
1312,41748,10437
1313,41748,10437
1314,41748,10437
1315,41748,10437
1316,41748,10437
1317,41748,10437
1318,41748,10437
1319,41748,10437
1320,41748,10437
1321,41748,10437
1322,41748,10437
1323,41748,10437
1324,41748,10437
1325,41748,10437
1326,41748,10437
1327,41748,10437
1328,41748,10437
1329,41748,10437
1330,41748,10437
1331,41748,10437
1332,41748,10437
1333,41748,10437
1334,41748,10437
1335,41748,10437
1336,41748,10437
1337,41748,10437
1338,41748,10437
1339,41748,10437
1340,41748,10437
1341,41748,10437
1342,41748,10437
1343,41748,10437
1344,41748,10437
1345,41748,10437
1346,41748,10437
1347,41748,10437
1348,41748,10437
1349,41748,10437
1350,41748,10437
1351,41748,10437
1352,41748,10437
1353,41748,10437
1354,41748,10437
1355,41748,10437
1356,41748,10437
1357,41748,10437
1358,41748,10437
1359,41748,10437
1360,41748,10437
1361,41748,10437
1362,41748,10437
1363,41748,10437
1364,41748,10437
1365,41748,10437
1366,41748,10437
1367,41748,10437
1368,41748,10437
1369,41748,10437
1370,41748,10437
1371,41748,10437
1372,41748,10437
1373,41748,10437
1374,41748,10437
1375,41748,10437
1376,41748,10437
1377,41748,10437
1378,41748,10437
1379,41748,10437
1380,41748,10437
1381,41748,10437
1382,41748,10437
1383,41748,10437
1384,41748,10437
1385,41748,10437
1386,41748,10437
1387,41748,10437
1388,41748,10437
1389,41748,10437
1390,41748,10437
1391,41748,10437
1392,41748,10437
1393,41748,10437
1394,41748,10437
1395,41748,10437
1396,41748,10437
1397,41748,10437
1398,41748,10437
1399,41748,10437
1400,41748,10437
1401,41748,10437
1402,41748,10437
1403,41748,10437
1404,41748,10437
1405,41748,10437
1406,41748,10437
1407,41748,10437
1408,41748,10437
1409,41748,10437
1410,41748,10437
1411,41748,10437
1412,41748,10437
1413,41748,10437
1414,41748,10437
1415,41748,10437
1416,41748,10437
1417,41748,10437
1418,41748,10437
1419,41748,10437
1420,41748,10437
1421,41748,10437
1422,41748,10437
1423,41748,10437
1424,41748,10437
1425,41748,10437
1426,41748,10437
1427,41748,10437
1428,41748,10437
1429,41748,10437
1430,41748,10437
1431,41748,10437
1432,41748,10437
1433,41748,10437
1434,41748,10437
1435,41748,10437
1436,41748,10437
1437,41748,10437
1438,41748,10437
1439,41748,10437
1440,41748,10437
1441,41748,10437
1442,41748,10437
1443,41748,10437
1444,41748,10437
1445,41748,10437
1446,41748,10437
1447,41748,10437
1448,41748,10437
1449,41748,10437
1450,41748,10437
1451,41748,10437
1452,41748,10437
1453,41748,10437
1454,41748,10437
1455,41748,10437
1456,41748,10437
1457,41748,10437
1458,41748,10437
1459,41748,10437
1460,41748,10437
1461,41748,10437
1462,41748,10437
1463,41748,10437
1464,41748,10437
1465,41748,10437
1466,41748,10437
1467,41748,10437
1468,41748,10437
1469,41748,10437
1470,41748,10437
1471,41748,10437
1472,41748,10437
1473,41748,10437
1474,41748,10437
1475,41748,10437
1476,41748,10437
1477,41748,10437
1478,41748,10437
1479,41748,10437
1480,41748,10437
1481,41748,10437
1482,41748,10437
1483,41748,10437
1484,41748,10437
1485,41748,10437
1486,41748,10437
1487,41748,10437
1488,41748,10437
1489,41748,10437
1490,41748,10437
1491,41748,10437
1492,41748,10437
1493,41748,10437
1494,41748,10437
1495,41748,10437
1496,41748,10437
1497,41748,10437
1498,41748,10437
1499,41748,10437
